"author","coauthors"
"Mattan S. Ben-Shachar","Andrea Berger"
"Mattan S. Ben-Shachar","Brenton M. Wiernik"
"Mattan S. Ben-Shachar","Michael Shmueli"
"Mattan S. Ben-Shachar","Tzlil Einziger"
"Mattan S. Ben-Shachar","Dmitri Lavro"
"Mattan S. Ben-Shachar","Minna Hannula-Sormunen"
"Mattan S. Ben-Shachar","Shachar Hochman"
"Mattan S. Ben-Shachar","Nachshon Meiran"
"Mattan S. Ben-Shachar","Maayan Pereg"
"Mattan S. Ben-Shachar","Henrik Singmann"
"Mattan S. Ben-Shachar","Dominique Makowski"
"Mattan S. Ben-Shachar","Daniel Lüdecke"
"Mattan S. Ben-Shachar","Indrajeet Patil"
"Mattan S. Ben-Shachar","Andrea Berger"
"Mattan S. Ben-Shachar","Brenton M. Wiernik"
"Mattan S. Ben-Shachar","Michael Shmueli"
"Mattan S. Ben-Shachar","Tzlil Einziger"
"Mattan S. Ben-Shachar","Dmitri Lavro"
"Mattan S. Ben-Shachar","Minna Hannula-Sormunen"
"Mattan S. Ben-Shachar","Shachar Hochman"
"Mattan S. Ben-Shachar","Nachshon Meiran"
"Mattan S. Ben-Shachar","Maayan Pereg"
"Mattan S. Ben-Shachar","Henrik Singmann"
"Mattan S. Ben-Shachar","Dominique Makowski"
"Mattan S. Ben-Shachar","Daniel Lüdecke"
"Mattan S. Ben-Shachar","Indrajeet Patil"
"Mattan S. Ben-Shachar","Andrea Berger"
"Mattan S. Ben-Shachar","Brenton M. Wiernik"
"Mattan S. Ben-Shachar","Michael Shmueli"
"Mattan S. Ben-Shachar","Tzlil Einziger"
"Mattan S. Ben-Shachar","Dmitri Lavro"
"Mattan S. Ben-Shachar","Minna Hannula-Sormunen"
"Mattan S. Ben-Shachar","Shachar Hochman"
"Mattan S. Ben-Shachar","Nachshon Meiran"
"Mattan S. Ben-Shachar","Maayan Pereg"
"Mattan S. Ben-Shachar","Henrik Singmann"
"Mirko Di Rosa","Giovanni Lamura"
"Mirko Di Rosa","Maria Gabriella Melchiorre"
"Giovanni Lamura","Maria Gabriella Melchiorre"
"Maria Gabriella Melchiorre","Giovanni Lamura"
"Daniel Lüdecke","Dominique Makowski"
"Daniel Lüdecke","Mattan S. Ben-Shachar"
"Daniel Lüdecke","Philip D. Waggoner"
"Daniel Lüdecke","Sh Annabel Chen"
"Daniel Lüdecke","Mirko Di Rosa"
"Daniel Lüdecke","Giovanni Lamura"
"Daniel Lüdecke","Bernd Löwe"
"Daniel Lüdecke","Maria Gabriella Melchiorre"
"Daniel Lüdecke","Dominique Makowski"
"Daniel Lüdecke","Mattan S. Ben-Shachar"
"Daniel Lüdecke","Philip D. Waggoner"
"Daniel Lüdecke","Sh Annabel Chen"
"Daniel Lüdecke","Mirko Di Rosa"
"Daniel Lüdecke","Giovanni Lamura"
"Daniel Lüdecke","Bernd Löwe"
"Daniel Lüdecke","Maria Gabriella Melchiorre"
"Daniel Lüdecke","Dominique Makowski"
"Daniel Lüdecke","Mattan S. Ben-Shachar"
"Daniel Lüdecke","Philip D. Waggoner"
"Daniel Lüdecke","Sh Annabel Chen"
"Daniel Lüdecke","Mirko Di Rosa"
"Daniel Lüdecke","Giovanni Lamura"
"Daniel Lüdecke","Bernd Löwe"
"Daniel Lüdecke","Maria Gabriella Melchiorre"
"Giorgia Silani","Indrajeet Patil"
"Giorgia Silani","Luca Chittaro"
"Giorgia Silani","Nicola Zangrando"
"Giorgia Silani","Giovanni Novembre"
"Fiery Cushman","Liane Young"
"Fiery Cushman","Wouter Kool"
"Giovanni Novembre","Giorgia Silani"
"Ezequiel Gleichgerrcht","Liane Young"
"Wouter Kool","Fiery Cushman"
"Wouter Kool","Indrajeet Patil"
"Wouter Kool","Mina Cikara"
"Marco Zanon","Giovanni Novembre"
"Marco Zanon","Giorgia Silani"
"Marco Zanon","Luca Chittaro"
"Marco Zanon","Nicola Zangrando"
"Marco Zanon","Indrajeet Patil"
"Indrajeet Patil","Dominique Makowski"
"Indrajeet Patil","Mattan S. Ben-Shachar"
"Indrajeet Patil","Philip D. Waggoner"
"Indrajeet Patil","Daniel Lüdecke"
"Indrajeet Patil","Giorgia Silani"
"Indrajeet Patil","Nicola Zangrando"
"Indrajeet Patil","Brenton M. Wiernik"
"Indrajeet Patil","Fiery Cushman"
"Indrajeet Patil","Luca Chittaro"
"Indrajeet Patil","Carlotta Cogoni"
"Indrajeet Patil","Liane Young"
"Indrajeet Patil","Giovanni Novembre"
"Indrajeet Patil","Constantin Ahlmann-Eltze"
"Indrajeet Patil","Ezequiel Gleichgerrcht"
"Indrajeet Patil","Wouter Kool"
"Indrajeet Patil","Mina Cikara"
"Indrajeet Patil","Stephanie Campbell"
"Indrajeet Patil","Micaela Maria Zucchelli"
"Indrajeet Patil","Marco Zanon"
"Indrajeet Patil","Bastien Trémolière"
"Indrajeet Patil","Dominique Makowski"
"Indrajeet Patil","Mattan S. Ben-Shachar"
"Indrajeet Patil","Philip D. Waggoner"
"Indrajeet Patil","Daniel Lüdecke"
"Indrajeet Patil","Giorgia Silani"
"Indrajeet Patil","Nicola Zangrando"
"Indrajeet Patil","Brenton M. Wiernik"
"Indrajeet Patil","Fiery Cushman"
"Indrajeet Patil","Luca Chittaro"
"Indrajeet Patil","Carlotta Cogoni"
"Indrajeet Patil","Liane Young"
"Indrajeet Patil","Giovanni Novembre"
"Indrajeet Patil","Constantin Ahlmann-Eltze"
"Indrajeet Patil","Ezequiel Gleichgerrcht"
"Indrajeet Patil","Wouter Kool"
"Indrajeet Patil","Mina Cikara"
"Indrajeet Patil","Stephanie Campbell"
"Indrajeet Patil","Micaela Maria Zucchelli"
"Indrajeet Patil","Marco Zanon"
"Indrajeet Patil","Bastien Trémolière"
"Indrajeet Patil","Dominique Makowski"
"Indrajeet Patil","Mattan S. Ben-Shachar"
"Indrajeet Patil","Philip D. Waggoner"
"Indrajeet Patil","Daniel Lüdecke"
"Indrajeet Patil","Giorgia Silani"
"Indrajeet Patil","Nicola Zangrando"
"Indrajeet Patil","Brenton M. Wiernik"
"Indrajeet Patil","Fiery Cushman"
"Indrajeet Patil","Luca Chittaro"
"Indrajeet Patil","Carlotta Cogoni"
"Indrajeet Patil","Liane Young"
"Indrajeet Patil","Giovanni Novembre"
"Indrajeet Patil","Constantin Ahlmann-Eltze"
"Indrajeet Patil","Ezequiel Gleichgerrcht"
"Indrajeet Patil","Wouter Kool"
"Indrajeet Patil","Mina Cikara"
"Indrajeet Patil","Stephanie Campbell"
"Indrajeet Patil","Micaela Maria Zucchelli"
"Indrajeet Patil","Marco Zanon"
"Indrajeet Patil","Bastien Trémolière"
"Ryan Kennedy","Philip D. Waggoner"
"Ryan Kennedy","Scott Clifford"
"Ryan Kennedy","Nicholas Winter"
"Ryan Kennedy","Myriam Shiran"
"Scott Clifford","Philip D. Waggoner"
"Scott Clifford","Ryan Kennedy"
"Scott Clifford","Nicholas Winter"
"Myriam Shiran","Ryan Kennedy"
"Myriam Shiran","Philip D. Waggoner"
"Myriam Shiran","Hayden Le"
"Benjamin S. Baumer","Gregory J. Matthews"
"Gregory J. Matthews","Benjamin S. Baumer"
"Tyler Burleigh","Scott Clifford"
"Tyler Burleigh","Ryan Kennedy"
"Tyler Burleigh","Philip D. Waggoner"
"Tyler Burleigh","Nicholas Winter"
"Philip D. Waggoner","Dominique Makowski"
"Philip D. Waggoner","Indrajeet Patil"
"Philip D. Waggoner","Mattan S. Ben-Shachar"
"Philip D. Waggoner","Daniel Lüdecke"
"Philip D. Waggoner","Ryan Kennedy"
"Philip D. Waggoner","Scott Clifford"
"Philip D. Waggoner","Nicholas Winter"
"Philip D. Waggoner","Jonathan A. Solis"
"Philip D. Waggoner","Brenton M. Wiernik"
"Philip D. Waggoner","Samuel Frederick"
"Philip D. Waggoner","Myriam Shiran"
"Philip D. Waggoner","Hayden Le"
"Philip D. Waggoner","David Stanley"
"Philip D. Waggoner","Brandon Rottinghaus"
"Philip D. Waggoner","Marc Lavielle"
"Philip D. Waggoner","Benjamin S. Baumer"
"Philip D. Waggoner","Gregory J. Matthews"
"Philip D. Waggoner","Nguyen Quang Dung"
"Philip D. Waggoner","Robert X Browning"
"Philip D. Waggoner","Tyler Burleigh"
"Philip D. Waggoner","Dominique Makowski"
"Philip D. Waggoner","Indrajeet Patil"
"Philip D. Waggoner","Mattan S. Ben-Shachar"
"Philip D. Waggoner","Daniel Lüdecke"
"Philip D. Waggoner","Ryan Kennedy"
"Philip D. Waggoner","Scott Clifford"
"Philip D. Waggoner","Nicholas Winter"
"Philip D. Waggoner","Jonathan A. Solis"
"Philip D. Waggoner","Brenton M. Wiernik"
"Philip D. Waggoner","Samuel Frederick"
"Philip D. Waggoner","Myriam Shiran"
"Philip D. Waggoner","Hayden Le"
"Philip D. Waggoner","David Stanley"
"Philip D. Waggoner","Brandon Rottinghaus"
"Philip D. Waggoner","Marc Lavielle"
"Philip D. Waggoner","Benjamin S. Baumer"
"Philip D. Waggoner","Gregory J. Matthews"
"Philip D. Waggoner","Nguyen Quang Dung"
"Philip D. Waggoner","Robert X Browning"
"Philip D. Waggoner","Tyler Burleigh"
"Philip D. Waggoner","Dominique Makowski"
"Philip D. Waggoner","Indrajeet Patil"
"Philip D. Waggoner","Mattan S. Ben-Shachar"
"Philip D. Waggoner","Daniel Lüdecke"
"Philip D. Waggoner","Ryan Kennedy"
"Philip D. Waggoner","Scott Clifford"
"Philip D. Waggoner","Nicholas Winter"
"Philip D. Waggoner","Jonathan A. Solis"
"Philip D. Waggoner","Brenton M. Wiernik"
"Philip D. Waggoner","Samuel Frederick"
"Philip D. Waggoner","Myriam Shiran"
"Philip D. Waggoner","Hayden Le"
"Philip D. Waggoner","David Stanley"
"Philip D. Waggoner","Brandon Rottinghaus"
"Philip D. Waggoner","Marc Lavielle"
"Philip D. Waggoner","Benjamin S. Baumer"
"Philip D. Waggoner","Gregory J. Matthews"
"Philip D. Waggoner","Nguyen Quang Dung"
"Philip D. Waggoner","Robert X Browning"
"Philip D. Waggoner","Tyler Burleigh"
"Chiao-Yi Wu","Sh Annabel Chen"
"Moon-Ho Ho","Sh Annabel Chen"
"Moon-Ho Ho","Chiao-Yi Wu"
"Anqi Qiu","Sh Annabel Chen"
"Epifanio Bagarinao","Sh Annabel Chen"
"Vincent P Mathews","Mark Lowe"
"Vincent P Mathews","David Kareken"
"James B. Hale","Sh Annabel Chen"
"Sh Annabel Chen","John E. Desmond"
"Sh Annabel Chen","Dominique Makowski"
"Sh Annabel Chen","Chiao-Yi Wu"
"Sh Annabel Chen","Lau Zen Juen"
"Sh Annabel Chen","Moon-Ho Ho"
"Sh Annabel Chen","Tam Pham"
"Sh Annabel Chen","David Kareken"
"Sh Annabel Chen","Anqi Qiu"
"Sh Annabel Chen","Edith Sullivan"
"Sh Annabel Chen","Kenichi Oishi"
"Sh Annabel Chen","Mark Lowe"
"Sh Annabel Chen","Epifanio Bagarinao"
"Sh Annabel Chen","Vincent P Mathews"
"Sh Annabel Chen","Gary Bond"
"Sh Annabel Chen","Daniel Lüdecke"
"Sh Annabel Chen","Mattan S. Ben-Shachar"
"Sh Annabel Chen","Tommy Ng"
"Sh Annabel Chen","Brenda Rapp"
"Sh Annabel Chen","James B. Hale"
"Sh Annabel Chen","Kang Sim"
"Sh Annabel Chen","John E. Desmond"
"Sh Annabel Chen","Dominique Makowski"
"Sh Annabel Chen","Chiao-Yi Wu"
"Sh Annabel Chen","Lau Zen Juen"
"Sh Annabel Chen","Moon-Ho Ho"
"Sh Annabel Chen","Tam Pham"
"Sh Annabel Chen","David Kareken"
"Sh Annabel Chen","Anqi Qiu"
"Sh Annabel Chen","Edith Sullivan"
"Sh Annabel Chen","Kenichi Oishi"
"Sh Annabel Chen","Mark Lowe"
"Sh Annabel Chen","Epifanio Bagarinao"
"Sh Annabel Chen","Vincent P Mathews"
"Sh Annabel Chen","Gary Bond"
"Sh Annabel Chen","Daniel Lüdecke"
"Sh Annabel Chen","Mattan S. Ben-Shachar"
"Sh Annabel Chen","Tommy Ng"
"Sh Annabel Chen","Brenda Rapp"
"Sh Annabel Chen","James B. Hale"
"Sh Annabel Chen","Kang Sim"
"Sh Annabel Chen","John E. Desmond"
"Sh Annabel Chen","Dominique Makowski"
"Sh Annabel Chen","Chiao-Yi Wu"
"Sh Annabel Chen","Lau Zen Juen"
"Sh Annabel Chen","Moon-Ho Ho"
"Sh Annabel Chen","Tam Pham"
"Sh Annabel Chen","David Kareken"
"Sh Annabel Chen","Anqi Qiu"
